cve_ent,pob_tot,analf,sbasc,ovsde,ovsee,ovsae,ovpt,vhac,pl.5000,po2sm,im,gm,imn,year
01,1425607,2.11195033427003,23.57826426196,0.348996335890995,0.231956400657092,0.552682508962848,0.774680559727328,13.1321907043457,21.2731839840854,58.5043522460131,22.2057208476961,Muy bajo,0.816929192948377,2020
02,3769020,1.82906710121644,24.6816482302214,0.199849561723513,0.584065577066844,2.09958724408407,1.91452284545262,14.5895729064941,8.45524831388531,73.5508605265931,21.3802974064342,Bajo,0.786562581103815,2020
03,798447,2.33625575004781,23.9820802637207,0.419938966497666,0.961081413585284,5.39331012454704,5.05909396041417,18.60085105896,10.2799559645161,45.4869781413987,21.4733879221918,Bajo,0.789987300365602,2020
04,928363,5.86313582310591,29.7814292836072,2.51711477374627,1.04523224065962,3.97575162788476,2.68708697884832,29.973819732666,29.923855216117,70.0062641923107,17.8050514011252,Alto,0.65503238428014,2020
05,3146771,1.67238046720608,21.4939699888088,0.298874267954587,0.169822312938997,0.940492268398706,0.747649871151607,13.475172996521,10.0396247454931,60.030637186245,22.5456842732846,Muy bajo,0.829436152249672,2020
06,731391,3.37234797072282,27.8189753872608,0.268863163816258,0.327601230986444,0.662367619543981,2.62361766084774,15.3111848831177,13.4966112517108,59.728189365096,21.5323285027483,Bajo,0.792155673157287,2020
07,5543828,13.7006800103466,48.1195498385394,2.45891406239606,1.79860120742681,10.6761380339513,12.3885710244841,36.0943946838379,57.6352296644124,85.5702744072091,11.9986541656442,Muy alto,0.441420070586151,2020
08,3741869,2.63008075619087,27.3047426147505,1.41650818170214,1.66071071298838,1.6569806817989,2.18342422629654,13.5995683670044,14.3858857699187,66.6982488463124,20.015271426362,Medio,0.736344460291508,2020
09,9209944,1.42962125095984,17.6419644813308,0.0519522363374757,0.0518195615506952,1.24110360741188,0.633648831513289,14.3978042602539,1.00798658493472,56.1321676549178,23.1431092825321,Muy bajo,0.851414899708452,2020
10,1832650,2.72566393254669,27.4902398540011,2.84427782645015,2.09286957287927,2.30848398978633,4.25730982558626,16.2123889923096,32.498294818978,69.2550608818597,18.4727395817054,Alto,0.679596052815997,2020
11,6166934,5.29462751748523,33.5253357195362,1.92896494997623,0.375723118878932,2.9130332373596,2.41829999203309,16.8974628448486,33.2632715057434,67.0882009565327,19.4194566833365,Medio,0.714424953129142,2020
12,3540685,12.4712609264742,42.5538615732607,9.38375497996885,1.4110065530074,11.5492851654461,15.2669734411866,32.8601303100586,48.1451752980002,80.2784267314254,10.9891557371421,Muy alto,0.404281499758606,2020
13,3082841,6.62145905693297,29.9050194457339,1.90060504761535,0.639300035886068,3.87040522811907,2.85059305595349,18.51784324646,53.8292763071466,73.9456641167239,18.0531776557115,Alto,0.664160733785153,2020
14,8348151,2.8956648978072,29.5358676946948,0.567858282292686,0.298212423706189,0.754098595313198,1.65753437454769,14.0233583450317,16.1631000685062,55.8553513780288,21.8151477608011,Bajo,0.802560348142443,2020
15,16992418,2.90285858939968,24.9594290041493,1.21130774731446,0.26334526855309,2.78396916697054,2.08465168342559,20.7020645141602,19.1477340070142,66.0026879153549,20.803635071891,Bajo,0.765347674423089,2020
16,4748846,7.04518688835132,42.4101036564825,1.36711715769871,0.488414231908684,2.82063283314806,5.59073246118916,18.8256797790527,37.5260431692247,70.6212118045396,18.2808307982687,Alto,0.672535895271555,2020
17,1971520,4.44588350788832,27.5308546329636,0.734131142680414,0.297000600646654,4.2239164418253,4.10262675875974,19.2791576385498,26.1304475734459,73.5876321065016,19.8139379210314,Medio,0.728937575410295,2020
18,1235456,4.48621009264228,29.0529557375672,3.97098998042585,2.12630443164971,3.02123336397819,3.98581279239419,18.0099925994873,36.4707444053046,64.8224373790713,17.5159589301092,Alto,0.644396923235917,2020
19,5784442,1.46567205003719,19.0659485639704,0.101456977890732,0.109471484688087,0.702551578513602,0.787182028272972,13.1980953216553,5.13748776459337,46.7918014043563,23.4443183234979,Muy bajo,0.862496118842598,2020
20,4132148,11.8243392116793,45.28359699418,1.93806047303986,1.92439439233195,9.99721612477236,13.9933598440935,29.453197479248,59.4014783594392,78.8500262972736,13.2164094569373,Muy alto,0.486220230605633,2020
21,6583278,6.97488611874958,36.8704316645101,1.13210910899773,0.613923370543401,4.65548555211771,5.33626027806687,25.5253295898438,36.0823589707134,77.2978911939616,17.7215996703583,Alto,0.65196226755062,2020
22,2368467,3.47819913864793,23.6344826871642,1.66348098815115,0.470218702913843,2.13106894329787,2.02285908129227,15.1250400543213,28.828562948101,57.0848455087431,20.8381896715953,Bajo,0.76661890814897,2020
23,1857985,3.06966877325933,22.5281185817703,1.14071457135402,0.824086858153126,1.65754923413567,2.4231417837519,26.1349010467529,11.4670462893942,57.2605401521831,20.6288619388062,Medio,0.75891792257944,2020
24,2822255,5.0152596095818,29.320295656202,1.51861145353624,1.18129756931331,7.64013027924609,4.96633652932483,16.7718372344971,36.0282114833706,64.8797656846095,18.6880088500625,Medio,0.687515622321159,2020
25,3026943,3.55582006314484,28.8634703292345,1.3737922705314,0.39901504273963,1.40316952734195,2.2610155480465,18.865306854248,29.2595863219096,61.7651443986114,20.5098520710059,Medio,0.754539652856884,2020
26,2944840,1.99446409002067,22.4058598067107,0.657870602896633,0.663356170840782,1.29849114471894,2.42455224727519,16.6239204406738,15.15552627647,63.2164131546799,21.4056402516913,Bajo,0.78749492238041,2020
27,2402598,5.08827285273351,29.1716047451896,1.75972077710245,0.49204540518143,6.18016880827141,3.36805636777399,26.0901184082031,53.2685035116153,71.7533352543983,18.3324509080038,Alto,0.674434954296706,2020
28,3527735,2.57903484737609,25.7937242089284,0.246713456887721,0.428084461725697,1.62339532059378,1.41680430144683,17.4267406463623,11.2405268536327,76.2682634210131,20.9965823640528,Bajo,0.772446037801987,2020
29,1342977,3.35274959803603,26.9407574557201,0.900121564217322,0.406729244287958,0.894582121105885,1.79739281285714,22.2353267669678,32.1304832472931,78.8124916380502,19.8707356663471,Medio,0.731027115153694,2020
30,8062579,8.4992942669593,39.8758233535518,1.25783296061994,1.0680876942575,8.67484899947319,5.98296954736816,23.0942687988281,45.8617025644028,78.1161957745774,16.4141575044012,Alto,0.603862605270447,2020
